simulation_number,nu_iterations,year,DoY,Rnctot,lEctot,Hctot,Actot,Tcave,Rnstot,lEstot,Hstot,Gtot,Tsave,Rntot,lEtot,Htot
#,,,,W m-2,W m-2,W m-2,umol m-2 s-1,C,W m-2,W m-2,W m-2,W m-2,C,W m-2, W m-2,W m-2
1,6,0,0,1.312871e+02,6.196698e+01,6.940904e+01,4.806237e+00,3.158653e+01,1.888003e+02,8.696739e+01,3.578506e+01,6.608009e+01,3.121692e+01,3.200873e+02,1.489344e+02,1.051941e+02
2,6,0,0,1.313010e+02,6.195280e+01,6.943673e+01,4.804704e+00,3.158901e+01,1.887662e+02,8.695460e+01,3.577575e+01,6.606818e+01,3.121517e+01,3.200673e+02,1.489074e+02,1.052125e+02
