F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
1.998467e+00,688,8.782986e+00,743,1.838028e+00,5.460957e+00,5.248552e-01,1.595104e+00,6.616051e+00
1.929163e+00,688,8.577997e+00,743,1.774208e+00,5.339587e+00,5.116694e-01,1.595397e+00,6.617327e+00
