#aerodynamicresistance(ra),raforsoil,rss,ustar
#s m-1,s m-1,s m-1,m s-1
6.521804e+01,2.148516e+02,500,1.921431e-01
6.460733e+01,2.129629e+02,500,1.939310e-01
