simulation_number,nu_iterations,year,DoY,Rnctot,lEctot,Hctot,Actot,Tcave,Rnstot,lEstot,Hstot,Gtot,Tsave,Rntot,lEtot,Htot
#,,,,W m-2,W m-2,W m-2,umol m-2 s-1,C,W m-2,W m-2,W m-2,W m-2,C,W m-2, W m-2,W m-2
1,8,0,0,2.956505e+02,2.060377e+02,8.769665e+01,1.697440e+01,3.091083e+01,1.456250e+02,7.888888e+01,1.522437e+01,5.096874e+01,4.262636e+01,4.412755e+02,2.849266e+02,1.029210e+02
2,8,0,0,3.048112e+02,2.039271e+02,9.930090e+01,1.489170e+01,3.163029e+01,1.094406e+02,5.895862e+01,1.166667e+01,3.830422e+01,3.838682e+01,4.142518e+02,2.628857e+02,1.109676e+02
