simulation_number,year,DoY,iPAR,iPARE,LAIsunlit,LAIshaded,aPARtot,aPARsun,aPARsha,aPARCabtot,aPARCabsun,aPARCabsha,aPARCartot,aPARCarsun,aPARCarsha,aPARtotE,aPARsunE,aPARshaE,aPARCabtotE,aPARCabsunE,aPARCabshaE,aPARCartotE,aPARCarsunE,aPARCarshaE
#,,,umol m-2 s-1,W m-2,m2m-2,m2m-2,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2
1,0,0,1.322973e+03,2.898312e+02,2.561028e+00,1.438972e+00,9.996042e+02,8.835535e+02,1.160507e+02,9.519614e+02,8.337149e+02,1.182465e+02,1.458167e+02,1.279935e+02,1.782323e+01,2.194979e+02,1.938196e+02,2.567835e+01,1.983910e+02,1.739826e+02,2.440843e+01,3.606722e+01,3.166533e+01,4.401889e+00
2,0,0,1.321248e+03,2.894552e+02,1.987931e+00,2.012069e+00,1.123363e+03,9.658074e+02,1.575556e+02,1.072451e+03,9.114134e+02,1.610378e+02,1.626440e+02,1.373980e+02,2.524602e+01,2.462718e+02,2.111506e+02,3.512122e+01,2.231329e+02,1.897593e+02,3.337363e+01,4.020398e+01,3.396501e+01,6.238970e+00
