F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
2.581903e-01,688,1.886278e+00,745,2.362218e-01,1.312835e+00,1.065859e-01,6.239706e-01,3.861562e+00
2.414405e-01,688,1.987311e+00,746,2.204923e-01,1.396098e+00,1.109663e-01,7.347394e-01,4.393246e+00
