F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
5.163807e-01,688,3.772557e+00,745,4.724437e-01,2.625670e+00,2.131719e-01,1.247941e+00,7.723125e+00
4.828809e-01,688,3.974621e+00,746,4.409846e-01,2.792195e+00,2.219326e-01,1.469479e+00,8.786493e+00
