simulation_number,nu_iterations,year,DoY,Rnctot,lEctot,Hctot,Actot,Tcave,Rnstot,lEstot,Hstot,Gtot,Tsave,Rntot,lEtot,Htot
#,,,,W m-2,W m-2,W m-2,umol m-2 s-1,C,W m-2,W m-2,W m-2,W m-2,C,W m-2, W m-2,W m-2
1,5,0,0,8.117790e+01,6.518651e+01,1.617941e+01,6.832381e+00,2.660458e+01,2.666418e+02,1.157816e+02,5.772990e+01,9.332461e+01,3.543602e+01,3.478197e+02,1.809681e+02,7.390931e+01
2,5,0,0,9.398613e+01,6.829064e+01,2.598030e+01,6.656408e+00,2.756058e+01,2.452817e+02,1.081418e+02,5.155224e+01,8.584858e+01,3.426702e+01,3.392678e+02,1.764324e+02,7.753254e+01
