F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
NaN,NaN,7.740285e-01,741,2.038610e-01,4.439411e-01,5.085157e-02,3.924125e-01,1.361248e+00
NaN,NaN,8.651404e-01,741,2.211383e-01,4.969684e-01,5.658779e-02,4.577999e-01,1.591013e+00
