F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
NaN,NaN,1.548057e+00,741,4.077219e-01,8.878822e-01,1.017031e-01,7.848250e-01,2.722496e+00
NaN,NaN,1.730281e+00,741,4.422766e-01,9.939368e-01,1.131756e-01,9.155998e-01,3.182027e+00
