simulation_number,year,DoY,iPAR,iPARE,LAIsunlit,LAIshaded,aPARtot,aPARsun,aPARsha,aPARCabtot,aPARCabsun,aPARCabsha,aPARCartot,aPARCarsun,aPARCarsha,aPARtotE,aPARsunE,aPARshaE,aPARCabtotE,aPARCabsunE,aPARCabshaE,aPARCartotE,aPARCarsunE,aPARCarshaE
#,,,umol m-2 s-1,W m-2,m2m-2,m2m-2,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2
1,0,0,1.327859e+03,2.908306e+02,8.880386e-01,1.119614e-01,4.858423e+02,4.506918e+02,3.515049e+01,3.406941e+02,3.160142e+02,2.467984e+01,1.446364e+02,1.340817e+02,1.055465e+01,1.076775e+02,9.986332e+01,7.814201e+00,6.983815e+01,6.476936e+01,5.068796e+00,3.624995e+01,3.360312e+01,2.646833e+00
2,0,0,1.327084e+03,2.906568e+02,8.232486e-01,1.767514e-01,5.602879e+02,5.050635e+02,5.522444e+01,3.957472e+02,3.568990e+02,3.884813e+01,1.646771e+02,1.480617e+02,1.661540e+01,1.238418e+02,1.115573e+02,1.228454e+01,8.092998e+01,7.294887e+01,7.981110e+00,4.123259e+01,3.706733e+01,4.165263e+00
