#aerodynamicresistance(ra),raforsoil,rss,ustar
#s m-1,s m-1,s m-1,m s-1
5.997656e+01,4.934769e+01,500,2.047603e-01
5.960420e+01,4.910725e+01,500,2.060192e-01
