F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
NaN,NaN,3.302165e+00,741,9.759888e-01,1.869018e+00,2.198580e-01,6.729238e-01,2.237096e+00
NaN,NaN,3.236381e+00,741,9.470773e-01,1.832564e+00,2.151178e-01,6.730622e-01,2.237548e+00
