simulation_number,year,DoY,iPAR,iPARE,LAIsunlit,LAIshaded,aPARtot,aPARsun,aPARsha,aPARCabtot,aPARCabsun,aPARCabsha,aPARCartot,aPARCarsun,aPARCarsha,aPARtotE,aPARsunE,aPARshaE,aPARCabtotE,aPARCabsunE,aPARCabshaE,aPARCartotE,aPARCarsunE,aPARCarshaE
#,,,umol m-2 s-1,W m-2,m2m-2,m2m-2,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2
1,0,0,1.326119e+03,2.904999e+02,8.880386e-01,1.119614e-01,5.330675e+02,4.957577e+02,3.730981e+01,4.933555e+02,4.587804e+02,3.457509e+01,7.799599e+01,7.237469e+01,5.621291e+00,1.173085e+02,1.090499e+02,8.258566e+00,1.036407e+02,9.634968e+01,7.291069e+00,1.933819e+01,1.794260e+01,1.395593e+00
2,0,0,1.325057e+03,2.902723e+02,8.232486e-01,1.767514e-01,6.154704e+02,5.577358e+02,5.773462e+01,5.720134e+02,5.184554e+02,5.355800e+01,8.896198e+01,8.015137e+01,8.810609e+00,1.350909e+02,1.222844e+02,1.280656e+01,1.198346e+02,1.085269e+02,1.130769e+01,2.203638e+01,1.984894e+01,2.187442e+00
