F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
3.541771e-01,689,2.002498e+00,743,3.206018e-01,1.264645e+00,1.165483e-01,8.793757e-01,4.001490e+00
3.808371e-01,689,2.246199e+00,743,3.438504e-01,1.423058e+00,1.300839e-01,1.035220e+00,4.722936e+00
