#aerodynamicresistance(ra),raforsoil,rss,ustar
#s m-1,s m-1,s m-1,m s-1
5.960029e+01,4.910473e+01,500,2.060326e-01
5.907243e+01,4.876386e+01,500,2.078443e-01
