simulation_number,nu_iterations,year,DoY,Rnctot,lEctot,Hctot,Actot,Tcave,Rnstot,lEstot,Hstot,Gtot,Tsave,Rntot,lEtot,Htot
#,,,,W m-2,W m-2,W m-2,umol m-2 s-1,C,W m-2,W m-2,W m-2,W m-2,C,W m-2, W m-2,W m-2
1,5,0,0,9.042997e+01,7.007578e+01,2.058255e+01,7.167596e+00,2.702845e+01,2.634491e+02,1.144756e+02,5.702674e+01,9.220717e+01,3.525051e+01,3.538790e+02,1.845514e+02,7.760929e+01
2,5,0,0,1.040836e+02,7.223359e+01,3.228095e+01,6.797803e+00,2.815318e+01,2.418947e+02,1.067717e+02,5.078846e+01,8.466316e+01,3.405623e+01,3.459784e+02,1.790052e+02,8.306940e+01
