,0
0,763.819
1,810.071
2,653.4549999999999
3,738.03
4,823.403
5,670.871
6,925.5160000000001
7,
8,1215.406
9,1240.9
10,1266.539
11,1331.5059999999999
12,1310.1019999999999
13,1288.5720000000001
14,1277.721
15,1208.4769999999999
16,1138.818
17,1341.1779999999999
18,1356.045
19,1427.7240000000002
20,1483.924
21,1535.8780000000002
22,1576.911
23,1565.504
24,1575.025
25,1575.873
26,1568.6009999999999
27,1562.029
28,1568.642
29,1582.651
30,1598.253
31,1545.204
32,1476.8029999999999
33,1524.2959999999998
34,1541.484
35,1558.597
36,1496.0720000000001
37,1510.567
38,1525.076
39,1529.5729999999999
40,1486.047
41,
42,1424.538
43,1446.585
44,1468.5549999999998
45,1505.2350000000001
46,1499.374
47,1476.703
48,1458.762
49,1468.867
50,1475.327
51,
52,1471.559
53,1451.366
54,1431.4850000000001
55,1444.3899999999999
56,1438.432
57,1412.786
58,1445.5480000000002
59,1441.9410000000003
60,1437.051
61,1444.6019999999999
62,1403.076
63,1278.7130000000002
64,1359.661
65,1376.6979999999999
66,1380.993
67,1386.896
68,1376.498
69,1349.605
70,1333.0120000000002
71,1346.685
72,1345.7130000000002
73,1331.2939999999999
74,1304.538
75,1315.8890000000001
76,1322.5790000000002
77,1315.657
78,1310.048
79,1302.571
80,1274.73
81,1233.246
82,1216.516
83,1253.02
84,1260.782
85,1262.398
86,
87,1250.189
88,1239.105
89,1232.874
90,1210.6109999999999
91,925.1550000000001
92,1106.1580000000001
93,1067.199
94,1166.401
95,1106.398
96,1150.101
97,1137.347
98,1135.382
99,1099.502
100,898.375
101,1098.558
102,966.28
103,911.62
104,1019.1949999999999
105,1031.819
106,1031.994
107,1057.849
108,1073.204
109,1061.6
110,1056.608
111,1045.885
112,373.76200000000006
113,661.155
114,962.5360000000001
115,1003.2210000000001
116,1007.5250000000001
117,1004.097
118,1000.3400000000001
119,991.3960000000001
120,969.162
121,947.932
122,947.762
123,951.821
124,953.714
125,920.889
126,933.367
127,868.747
128,751.315
129,751.867
130,655.163
131,808.319
132,759.879
133,743.933
134,852.1560000000001
135,858.4590000000001
136,871.6220000000001
137,862.9679999999998
138,831.3330000000001
139,809.0630000000001
140,793.2560000000001
141,846.193
142,825.878
143,810.835
144,815.992
145,829.877
146,836.951
147,829.95
148,822.5840000000001
149,816.224
150,802.867
151,726.3589999999999
152,619.4739999999999
153,589.73
154,689.374
155,542.87
156,606.171
157,534.557
158,482.123
159,615.999
160,628.274
161,652.421
162,222.029
163,211.786
164,189.238
165,358.751
166,118.79
167,287.504
168,261.593
169,265.34000000000003
170,403.59000000000003
171,418.201
172,381.97
173,560.783
174,577.501
175,579.676
176,586.0889999999999
177,628.434
178,648.566
179,639.535
180,632.2929999999999
181,620.547
182,615.581
183,607.672
184,599.381
185,592.91
186,585.466
187,578.937
188,571.478
189,561.3209999999999
190,554.0899999999999
191,546.8530000000001
192,537.4929999999999
193,514.019
194,518.46
195,487.06
196,470.381
197,475.606
198,378.113
199,262.807
200,230.46999999999997
201,97.298
202,284.024
203,14.892
204,283.688
205,171.546
206,178.254
207,260.10900000000004
208,300.609
209,399.265
210,313.994
211,381.438
212,388.601
213,425.62899999999996
214,405.37199999999996
215,404.851
216,375.595
217,377.089
218,402.96799999999996
219,400.25600000000003
220,399.543
221,389.65599999999995
222,387.997
223,381.30400000000003
224,375.64300000000003
225,360.36
226,344.64
227,332.409
228,344.728
229,341.243
230,330.238
231,322.541
232,306.512
233,285.669
234,258.37300000000005
235,251.992
236,224.192
237,240.399
238,174.911
239,228.342
240,114.06
241,22.145
242,2.69
243,1.8569999999999998
244,0.097
245,4.125
246,7.095000000000001
247,0.07500000000000001
248,1.5779999999999998
249,0.081
250,9.381
251,1.8099999999999998
252,3.1609999999999996
253,34.921
254,11.139
255,25.363
256,23.205
257,31.734
258,84.272
259,18.353
260,83.72399999999999
261,90.179
262,75.42
263,29.485999999999997
264,121.109
265,98.112
266,140.318
267,165.885
268,229.03300000000002
269,210.92200000000003
270,225.995
271,218.22599999999997
272,238.637
273,226.756
274,229.418
275,231.32
276,230.64
277,231.56799999999998
278,228.52100000000002
279,225.853
280,220.779
281,206.82000000000002
282,212.077
283,216.428
284,215.57
285,214.44800000000004
286,209.576
287,204.361
288,199.473
289,204.594
290,204.09900000000002
291,200.83100000000002
292,198.022
293,193.62099999999998
294,190.547
295,188.016
296,188.82800000000003
297,187.587
298,183.207
299,182.178
300,180.96800000000002
301,175.82999999999998
302,169.70999999999998
303,166.20999999999998
304,166.749
305,156.06799999999998
306,157.74099999999999
307,162.30100000000002
308,147.901
309,154.551
310,153.60000000000002
311,132.115
312,117.86599999999999
313,134.923
314,152.781
315,115.87
316,120.209
317,99.87299999999999
318,90.486
319,64.223
320,82.014
321,61.402
322,32.193
323,15.105999999999998
324,15.733999999999998
325,1.3130000000000002
326,1.45
327,0.14300000000000002
328,0.012
329,0.5840000000000001
330,0.03
331,0.774
332,1.516
333,1.27
334,0.013
335,0.009000000000000001
336,10.532
337,3.4560000000000004
338,2.3369999999999997
339,38.251000000000005
340,2.83
341,0.156
342,0.694
343,0.08600000000000001
344,4.514
345,0.918
346,18.503
347,13.761999999999999
348,18.970000000000002
349,27.570999999999998
350,19.268
351,22.06
352,46.538999999999994
353,52.414
354,61.569
355,67.674
356,66.347
357,53.95100000000001
358,31.746000000000002
359,20.315
360,28.642000000000003
361,33.035
362,69.023
363,77.19
364,84.88900000000001
365,82.406
366,81.42
367,62.879999999999995
368,54.525999999999996
369,57.955
370,57.82600000000001
371,69.777
372,78.608
373,74.23
374,77.029
375,74.769
376,75.975
377,79.117
378,75.94800000000001
379,74.555
380,75.083
381,74.16799999999999
382,75.346
383,75.558
384,74.785
385,67.361
386,71.076
387,66.037
388,67.97800000000001
389,69.614
390,64.333
391,62.223
392,65.863
393,63.849999999999994
394,58.42399999999999
395,62.006
396,63.510999999999996
397,64.937
398,63.386
399,63.463
400,61.733999999999995
401,61.71
402,60.249
403,
404,57.144999999999996
405,58.483
406,57.955
407,55.098000000000006
408,54.915
409,55.146
410,53.355000000000004
411,52.024
412,51.147000000000006
413,52.246
414,55.385999999999996
415,44.525999999999996
416,46.15899999999999
417,51.433
418,49.24799999999999
419,43.867999999999995
420,44.648999999999994
421,34.471
422,44.53099999999999
423,42.372
424,42.663
425,32.54
426,34.168
427,30.994
428,34.789
429,36.747
430,43.012
431,29.734
432,30.323999999999998
433,30.098
434,18.648
435,45.041000000000004
436,44.688
437,13.086
438,40.190999999999995
439,13.922
440,18.628
441,24.465
442,29.973
443,10.382000000000001
444,10.296
445,19.580000000000002
446,12.056999999999999
447,6.372
448,8.373
