#aerodynamicresistance(ra),raforsoil,rss,ustar
#s m-1,s m-1,s m-1,m s-1
5.824259e+01,4.822794e+01,500,2.107581e-01
5.824138e+01,4.822716e+01,500,2.107624e-01
