simulation_number,year,DoY,iPAR,iPARE,LAIsunlit,LAIshaded,aPARtot,aPARsun,aPARsha,aPARCabtot,aPARCabsun,aPARCabsha,aPARCartot,aPARCarsun,aPARCarsha,aPARtotE,aPARsunE,aPARshaE,aPARCabtotE,aPARCabsunE,aPARCabshaE,aPARCartotE,aPARCarsunE,aPARCarshaE
#,,,umol m-2 s-1,W m-2,m2m-2,m2m-2,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2
1,0,0,1.325619e+03,2.903561e+02,6.419286e-01,3.580714e-01,7.427023e+02,6.326100e+02,1.100923e+02,5.307381e+02,4.528267e+02,7.791139e+01,2.137380e+02,1.805119e+02,3.322607e+01,1.634461e+02,1.389248e+02,2.452132e+01,1.081254e+02,9.211110e+01,1.601428e+01,5.342937e+01,4.510854e+01,8.320826e+00
2,0,0,1.325618e+03,2.903558e+02,6.417989e-01,3.582011e-01,7.428183e+02,6.326866e+02,1.101316e+02,5.308238e+02,4.528844e+02,7.793938e+01,2.137692e+02,1.805311e+02,3.323809e+01,1.634713e+02,1.389412e+02,2.453011e+01,1.081427e+02,9.212262e+01,1.602005e+01,5.343712e+01,4.511329e+01,8.323832e+00
