simulation_number,nu_iterations,year,DoY,Rnctot,lEctot,Hctot,Actot,Tcave,Rnstot,lEstot,Hstot,Gtot,Tsave,Rntot,lEtot,Htot
#,,,,W m-2,W m-2,W m-2,umol m-2 s-1,C,W m-2,W m-2,W m-2,W m-2,C,W m-2, W m-2,W m-2
1,6,0,0,1.204976e+02,6.383106e+01,5.684661e+01,5.156856e+00,3.047473e+01,1.929849e+02,8.855675e+01,3.690487e+01,6.754472e+01,3.149726e+01,3.134825e+02,1.523878e+02,9.375149e+01
2,6,0,0,1.205107e+02,6.381982e+01,5.687086e+01,5.155388e+00,3.047695e+01,1.929512e+02,8.854397e+01,3.689579e+01,6.753293e+01,3.149554e+01,3.134619e+02,1.523638e+02,9.376665e+01
