F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
NaN,NaN,6.604331e+00,741,1.951978e+00,3.738036e+00,4.397160e-01,1.345848e+00,4.474192e+00
NaN,NaN,6.472762e+00,741,1.894155e+00,3.665129e+00,4.302355e-01,1.346124e+00,4.475097e+00
