,x,y,fluor
0,440230.25399999996,5810314.655,1444.382083349361
1,440231.25399999996,5810314.655,1475.4959371600978
2,440230.25399999996,5810313.655,1550.7468647140158
3,440231.25399999996,5810313.655,1681.1419739283863
4,440232.25399999996,5810313.655,1811.633119357556
5,440230.25399999996,5810312.655,1509.9292470733649
6,440231.25399999996,5810312.655,1773.793286087127
7,440232.25399999996,5810312.655,1796.834830268715
8,440229.25399999996,5810311.655,1661.2417516893092
9,440230.25399999996,5810311.655,1672.13741670011
10,440231.25399999996,5810311.655,1496.9239174850275
11,440232.25399999996,5810311.655,1870.9094195625564
12,440233.25399999996,5810311.655,1873.7423797313957
13,440229.25399999996,5810310.655,1720.5481327116408
14,440230.25399999996,5810310.655,2169.3401655329044
15,440231.25399999996,5810310.655,2087.4295306410054
16,440232.25399999996,5810310.655,1927.3116496623995
17,440233.25399999996,5810310.655,2095.9024267246264
18,440234.25399999996,5810310.655,2274.6213869324024
19,440228.25399999996,5810309.655,1466.428401378725
20,440229.25399999996,5810309.655,1913.014875968985
21,440230.25399999996,5810309.655,2000.0838270301415
22,440231.25399999996,5810309.655,2000.0838270301415
23,440232.25399999996,5810309.655,1902.8498801143567
24,440233.25399999996,5810309.655,2007.755198194363
25,440234.25399999996,5810309.655,1995.29701214801
26,440228.25399999996,5810308.655,1567.3296493589132
27,440229.25399999996,5810308.655,2023.5260509768627
28,440230.25399999996,5810308.655,1958.2761563854333
29,440231.25399999996,5810308.655,1958.2761563854333
30,440232.25399999996,5810308.655,2259.9370001953394
31,440233.25399999996,5810308.655,2242.777955453936
32,440234.25399999996,5810308.655,1978.0098982486188
33,440235.25399999996,5810308.655,2067.9096795933356
34,440228.25399999996,5810307.655,1464.2265442797247
35,440229.25399999996,5810307.655,1838.8295758872598
36,440230.25399999996,5810307.655,2024.5898765446823
37,440231.25399999996,5810307.655,2013.3740417297668
38,440232.25399999996,5810307.655,2261.7741031668884
39,440233.25399999996,5810307.655,2242.777955453936
40,440234.25399999996,5810307.655,2005.570860488808
41,440235.25399999996,5810307.655,1973.920413786048
42,440236.25399999996,5810307.655,1928.1450194172264
43,440228.25399999996,5810306.655,1474.0887398744644
44,440229.25399999996,5810306.655,1667.8711930305776
45,440230.25399999996,5810306.655,1918.5152029108174
46,440231.25399999996,5810306.655,2024.5905761371996
47,440232.25399999996,5810306.655,2254.037101885211
48,440233.25399999996,5810306.655,2367.524468081474
49,440234.25399999996,5810306.655,2239.0254004132034
50,440235.25399999996,5810306.655,2034.7294261310783
51,440236.25399999996,5810306.655,1706.9400599395697
52,440237.25399999996,5810306.655,1753.0097525260571
53,440228.25399999996,5810305.655,1555.9983731170564
54,440229.25399999996,5810305.655,1648.1938004253211
55,440230.25399999996,5810305.655,1955.9225906779177
56,440231.25399999996,5810305.655,2098.0399500630183
57,440232.25399999996,5810305.655,2222.610357274072
58,440233.25399999996,5810305.655,2226.5924033040733
59,440234.25399999996,5810305.655,2145.5051826830254
60,440235.25399999996,5810305.655,2120.2974323864114
61,440236.25399999996,5810305.655,2120.2974323864114
62,440237.25399999996,5810305.655,1623.7729808467543
63,440228.25399999996,5810304.655,1593.9393622270884
64,440229.25399999996,5810304.655,1797.8051965132693
65,440230.25399999996,5810304.655,1841.9648036693604
66,440231.25399999996,5810304.655,2010.0996463943563
67,440232.25399999996,5810304.655,2127.9055383137384
68,440233.25399999996,5810304.655,2235.748810963777
69,440234.25399999996,5810304.655,2235.748810963777
70,440235.25399999996,5810304.655,2027.2999299028183
71,440236.25399999996,5810304.655,2063.4008835637073
72,440237.25399999996,5810304.655,1829.0239722477954
73,440238.25399999996,5810304.655,1199.0548591387235
74,440228.25399999996,5810303.655,1792.2422884793446
75,440229.25399999996,5810303.655,1627.3676541314394
76,440230.25399999996,5810303.655,1704.9084435667382
77,440231.25399999996,5810303.655,2055.553036403293
78,440232.25399999996,5810303.655,2195.730701667963
79,440233.25399999996,5810303.655,2084.5648286791293
80,440234.25399999996,5810303.655,2150.4408015267572
81,440235.25399999996,5810303.655,1975.577582047871
82,440236.25399999996,5810303.655,1975.577582047871
83,440237.25399999996,5810303.655,1932.7901576598667
84,440238.25399999996,5810303.655,1170.6818715492573
85,440239.25399999996,5810303.655,1027.4059612324565
86,440228.25399999996,5810302.655,1792.2422884793446
87,440229.25399999996,5810302.655,1586.9954241843125
88,440230.25399999996,5810302.655,1936.165994080239
89,440231.25399999996,5810302.655,1950.8571296806124
90,440232.25399999996,5810302.655,2195.730701667963
91,440233.25399999996,5810302.655,2234.276967532958
92,440234.25399999996,5810302.655,2384.854815253316
93,440235.25399999996,5810302.655,2304.4096309895913
94,440236.25399999996,5810302.655,2425.956803072312
