,x,y,fluor
0,444143.32899999997,5811831.156,27.28779208312288
1,444142.32899999997,5811830.156,28.114689099648537
2,444143.32899999997,5811830.156,27.321145260110118
3,444144.32899999997,5811830.156,27.128667756845577
4,444141.32899999997,5811829.156,28.639008346968527
5,444142.32899999997,5811829.156,28.53384577722356
6,444143.32899999997,5811829.156,28.53384577722356
7,444144.32899999997,5811829.156,28.209046241424033
8,444145.32899999997,5811829.156,27.8874200413792
9,444146.32899999997,5811829.156,27.128667756845577
10,444140.32899999997,5811828.156,28.879280005225223
11,444141.32899999997,5811828.156,28.613917162231363
12,444142.32899999997,5811828.156,28.92225750511073
13,444143.32899999997,5811828.156,28.639008346968527
14,444144.32899999997,5811828.156,28.457439448680972
15,444145.32899999997,5811828.156,28.457439448680972
16,444146.32899999997,5811828.156,27.715367052966545
17,444147.32899999997,5811828.156,26.767838897152487
18,444140.32899999997,5811827.156,28.98089156018716
19,444141.32899999997,5811827.156,28.879280005225223
20,444142.32899999997,5811827.156,28.726250762958458
21,444143.32899999997,5811827.156,28.870866655476814
22,444144.32899999997,5811827.156,28.872076555958692
23,444145.32899999997,5811827.156,28.25794540301604
24,444146.32899999997,5811827.156,27.87316954354053
25,444147.32899999997,5811827.156,27.87316954354053
26,444148.32899999997,5811827.156,27.481269096403405
27,444149.32899999997,5811827.156,27.404756798254066
28,444139.32899999997,5811826.156,28.82197096803757
29,444140.32899999997,5811826.156,28.837512061223965
30,444141.32899999997,5811826.156,28.930671196399963
31,444142.32899999997,5811826.156,28.879280005225223
32,444143.32899999997,5811826.156,28.775368222021537
33,444144.32899999997,5811826.156,28.775368222021537
34,444145.32899999997,5811826.156,28.775368222021537
35,444146.32899999997,5811826.156,28.901878033552862
36,444147.32899999997,5811826.156,28.201642971342466
37,444148.32899999997,5811826.156,27.64363262879685
38,444149.32899999997,5811826.156,27.64363262879685
39,444150.32899999997,5811826.156,27.95416859953145
40,444138.32899999997,5811825.156,29.310629079593923
41,444139.32899999997,5811825.156,29.310629079593923
42,444140.32899999997,5811825.156,28.99281895197174
43,444141.32899999997,5811825.156,29.02496638571167
44,444142.32899999997,5811825.156,28.596105081487124
45,444143.32899999997,5811825.156,28.596105081487124
46,444144.32899999997,5811825.156,28.613989342805123
47,444145.32899999997,5811825.156,28.596105081487124
48,444146.32899999997,5811825.156,28.70105794231969
49,444147.32899999997,5811825.156,28.70105794231969
50,444148.32899999997,5811825.156,28.848061268619464
51,444149.32899999997,5811825.156,29.033301241617302
52,444150.32899999997,5811825.156,27.750076590402248
53,444151.32899999997,5811825.156,27.638961752103363
54,444137.32899999997,5811824.156,27.977153797756806
55,444138.32899999997,5811824.156,28.46577567380685
56,444139.32899999997,5811824.156,28.557832245799737
57,444140.32899999997,5811824.156,28.952188092842093
58,444141.32899999997,5811824.156,29.04549471719246
59,444142.32899999997,5811824.156,29.141067090027967
60,444143.32899999997,5811824.156,28.641577496588756
61,444144.32899999997,5811824.156,28.622479811062544
62,444145.32899999997,5811824.156,28.655759390210427
63,444146.32899999997,5811824.156,28.653416220550557
64,444147.32899999997,5811824.156,28.650953382077958
65,444148.32899999997,5811824.156,29.357106631841997
66,444149.32899999997,5811824.156,29.357106631841997
67,444150.32899999997,5811824.156,29.48981720349503
68,444151.32899999997,5811824.156,28.774120225022834
69,444152.32899999997,5811824.156,28.628433451893464
70,444153.32899999997,5811824.156,27.47054534140537
71,444137.32899999997,5811823.156,28.130044363221906
72,444138.32899999997,5811823.156,28.46577567380685
73,444139.32899999997,5811823.156,28.557832245799737
74,444140.32899999997,5811823.156,28.1276909654521
75,444141.32899999997,5811823.156,28.320206467614486
