F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
9.992334e-01,688,4.391493e+00,743,9.190138e-01,2.730479e+00,2.624276e-01,7.975521e-01,3.308026e+00
9.645815e-01,688,4.288998e+00,743,8.871041e-01,2.669794e+00,2.558347e-01,7.976983e-01,3.308663e+00
