simulation_number,year,DoY,iPAR,iPARE,LAIsunlit,LAIshaded,aPARtot,aPARsun,aPARsha,aPARCabtot,aPARCabsun,aPARCabsha,aPARCartot,aPARCarsun,aPARCarsha,aPARtotE,aPARsunE,aPARshaE,aPARCabtotE,aPARCabsunE,aPARCabshaE,aPARCartotE,aPARCarsunE,aPARCarshaE
#,,,umol m-2 s-1,W m-2,m2m-2,m2m-2,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2
1,0,0,1.323092e+03,2.898790e+02,6.419286e-01,3.580714e-01,8.166424e+02,7.065839e+02,1.100585e+02,7.641427e+02,6.616891e+02,1.024536e+02,1.157890e+02,9.839096e+01,1.739800e+01,1.785167e+02,1.539595e+02,2.455714e+01,1.593936e+02,1.376926e+02,2.170099e+01,2.863696e+01,2.431773e+01,4.319232e+00
2,0,0,1.323090e+03,2.898786e+02,6.417989e-01,3.582011e-01,8.167708e+02,7.066757e+02,1.100951e+02,7.642653e+02,6.617775e+02,1.024878e+02,1.158061e+02,9.840188e+01,1.740417e+01,1.785444e+02,1.539790e+02,2.456540e+01,1.594188e+02,1.377105e+02,2.170828e+01,2.864117e+01,2.432041e+01,4.320766e+00
