#aerodynamicresistance(ra),raforsoil,rss,ustar
#s m-1,s m-1,s m-1,m s-1
5.738830e+01,4.767616e+01,500,2.138447e-01
5.738701e+01,4.767532e+01,500,2.138495e-01
