simulation_number,year,DoY,iPAR,iPARE,LAIsunlit,LAIshaded,aPARtot,aPARsun,aPARsha,aPARCabtot,aPARCabsun,aPARCabsha,aPARCartot,aPARCarsun,aPARCarsha,aPARtotE,aPARsunE,aPARshaE,aPARCabtotE,aPARCabsunE,aPARCabshaE,aPARCartotE,aPARCarsunE,aPARCarshaE
#,,,umol m-2 s-1,W m-2,m2m-2,m2m-2,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2
1,0,0,1.319346e+03,2.890703e+02,1.016083e+00,2.983917e+00,1.234628e+03,9.957035e+02,2.389245e+02,1.179839e+03,9.382232e+02,2.416159e+02,1.776570e+02,1.376343e+02,4.002267e+01,2.703057e+02,2.165904e+02,5.371532e+01,2.452034e+02,1.947412e+02,5.046217e+01,4.389119e+01,3.398893e+01,9.902253e+00
2,0,0,1.319345e+03,2.890699e+02,1.015619e+00,2.984381e+00,1.234652e+03,9.956714e+02,2.389810e+02,1.179861e+03,9.381922e+02,2.416684e+02,1.776602e+02,1.376278e+02,4.003242e+01,2.703110e+02,2.165829e+02,5.372815e+01,2.452079e+02,1.947345e+02,5.047342e+01,4.389199e+01,3.398731e+01,9.904678e+00
