simulation_number,nu_iterations,year,DoY,Rnctot,lEctot,Hctot,Actot,Tcave,Rnstot,lEstot,Hstot,Gtot,Tsave,Rntot,lEtot,Htot
#,,,,W m-2,W m-2,W m-2,umol m-2 s-1,C,W m-2,W m-2,W m-2,W m-2,C,W m-2, W m-2,W m-2
1,7,0,0,2.796181e+02,1.523723e+02,1.259469e+02,8.268369e+00,3.321785e+01,6.677463e+01,3.572805e+01,6.906316e+00,2.337112e+01,3.275260e+01,3.463927e+02,1.881003e+02,1.328532e+02
2,7,0,0,2.795923e+02,1.523411e+02,1.259503e+02,8.266298e+00,3.321807e+01,6.675886e+01,3.572001e+01,6.904267e+00,2.336560e+01,3.275029e+01,3.463512e+02,1.880611e+02,1.328546e+02
