F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
1.308839e+00,688,6.504305e+00,744,1.206890e+00,4.285424e+00,3.828981e-01,1.075417e+00,5.208171e+00
1.218362e+00,688,6.238745e+00,744,1.123593e+00,4.127222e+00,3.657076e-01,1.075555e+00,5.208469e+00
