F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
1.770885e-01,689,1.001249e+00,743,1.603009e-01,6.323224e-01,5.827414e-02,4.396878e-01,2.000745e+00
1.904185e-01,689,1.123099e+00,743,1.719252e-01,7.115291e-01,6.504193e-02,5.176102e-01,2.361468e+00
