F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
NaN,NaN,5.429766e+00,741,1.245595e+00,3.160866e+00,3.424270e-01,9.851267e-01,3.766149e+00
NaN,NaN,5.257027e+00,741,1.169694e+00,3.065157e+00,3.299810e-01,9.852749e-01,3.766412e+00
