simulation_number,nu_iterations,year,DoY,Rnctot,lEctot,Hctot,Actot,Tcave,Rnstot,lEstot,Hstot,Gtot,Tsave,Rntot,lEtot,Htot
#,,,,W m-2,W m-2,W m-2,umol m-2 s-1,C,W m-2,W m-2,W m-2,W m-2,C,W m-2, W m-2,W m-2
1,8,0,0,2.743190e+02,1.590228e+02,1.147076e+02,9.079773e+00,3.256882e+01,6.781155e+01,3.647536e+01,7.159364e+00,2.373404e+01,3.312282e+01,3.421306e+02,1.954982e+02,1.218669e+02
2,8,0,0,2.742910e+02,1.589866e+02,1.147154e+02,9.076678e+00,3.256930e+01,6.779622e+01,3.646741e+01,7.157374e+00,2.372868e+01,3.312052e+01,3.420872e+02,1.954540e+02,1.218728e+02
