simulation_number,year,DoY,iPAR,iPARE,LAIsunlit,LAIshaded,aPARtot,aPARsun,aPARsha,aPARCabtot,aPARCabsun,aPARCabsha,aPARCartot,aPARCarsun,aPARCarsha,aPARtotE,aPARsunE,aPARshaE,aPARCabtotE,aPARCabsunE,aPARCabshaE,aPARCartotE,aPARCarsunE,aPARCarshaE
#,,,umol m-2 s-1,W m-2,m2m-2,m2m-2,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2
1,0,0,1.321860e+03,2.895400e+02,1.016083e+00,2.983917e+00,1.182883e+03,8.957204e+02,2.871623e+02,8.722640e+02,6.477591e+02,2.245049e+02,3.338829e+02,2.527902e+02,8.109277e+01,2.596954e+02,1.962992e+02,6.339617e+01,1.768302e+02,1.314474e+02,4.538278e+01,8.323732e+01,6.309931e+01,2.013801e+01
2,0,0,1.321859e+03,2.895397e+02,1.015619e+00,2.984381e+00,1.182901e+03,8.956789e+02,2.872223e+02,8.722760e+02,6.477286e+02,2.245474e+02,3.338885e+02,2.527767e+02,8.111183e+01,2.596995e+02,1.962898e+02,6.340969e+01,1.768327e+02,1.314411e+02,4.539156e+01,8.323872e+01,6.309594e+01,2.014278e+01
