F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
NaN,NaN,1.085953e+01,741,2.491189e+00,6.321732e+00,6.848541e-01,1.970253e+00,7.532297e+00
NaN,NaN,1.051405e+01,741,2.339389e+00,6.130314e+00,6.599619e-01,1.970550e+00,7.532825e+00
