#aerodynamicresistance(ra),raforsoil,rss,ustar
#s m-1,s m-1,s m-1,m s-1
6.384678e+01,2.106106e+02,500,1.962050e-01
6.384640e+01,2.106095e+02,500,1.962061e-01
