F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
2.617678e+00,688,1.300861e+01,744,2.413780e+00,8.570849e+00,7.657961e-01,2.150835e+00,1.041634e+01
2.436724e+00,688,1.247749e+01,744,2.247186e+00,8.254445e+00,7.314153e-01,2.151109e+00,1.041694e+01
