#aerodynamicresistance(ra),raforsoil,rss,ustar
#s m-1,s m-1,s m-1,m s-1
6.313547e+01,2.084105e+02,500,1.983807e-01
6.313541e+01,2.084103e+02,500,1.983809e-01
