#aerodynamicresistance(ra),raforsoil,rss,ustar
#s m-1,s m-1,s m-1,m s-1
6.505242e+01,2.143394e+02,500,1.926247e-01
6.478345e+01,2.135076e+02,500,1.934120e-01
