F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
NaN,NaN,3.655552e+00,742,5.947973e-01,2.185644e+00,2.195084e-01,1.283126e+00,5.908425e+00
NaN,NaN,3.761138e+00,742,5.559789e-01,2.256296e+00,2.233704e-01,1.453313e+00,6.456094e+00
