simulation_number,nu_iterations,year,DoY,Rnctot,lEctot,Hctot,Actot,Tcave,Rnstot,lEstot,Hstot,Gtot,Tsave,Rntot,lEtot,Htot
#,,,,W m-2,W m-2,W m-2,umol m-2 s-1,C,W m-2,W m-2,W m-2,W m-2,C,W m-2, W m-2,W m-2
1,8,0,0,2.840921e+02,1.927645e+02,8.945168e+01,1.550229e+01,3.101380e+01,1.489153e+02,8.065718e+01,1.561168e+01,5.212035e+01,4.303103e+01,4.330073e+02,2.734217e+02,1.050634e+02
2,8,0,0,2.936099e+02,1.953405e+02,9.661780e+01,1.437794e+01,3.146872e+01,1.117432e+02,6.015271e+01,1.196423e+01,3.911014e+01,3.876389e+01,4.053532e+02,2.554932e+02,1.085820e+02
