simulation_number,year,DoY,iPAR,iPARE,LAIsunlit,LAIshaded,aPARtot,aPARsun,aPARsha,aPARCabtot,aPARCabsun,aPARCabsha,aPARCartot,aPARCarsun,aPARCarsha,aPARtotE,aPARsunE,aPARshaE,aPARCabtotE,aPARCabsunE,aPARCabshaE,aPARCartotE,aPARCarsunE,aPARCarshaE
#,,,umol m-2 s-1,W m-2,m2m-2,m2m-2,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2
1,0,0,1.324692e+03,2.901547e+02,2.561028e+00,1.438972e+00,9.599246e+02,8.280601e+02,1.318645e+02,7.035639e+02,5.990866e+02,1.044773e+02,2.747881e+02,2.392291e+02,3.555903e+01,2.113691e+02,1.825118e+02,2.885731e+01,1.429465e+02,1.219605e+02,2.098601e+01,6.858542e+01,5.976290e+01,8.822518e+00
2,0,0,1.323308e+03,2.898414e+02,1.987931e+00,2.012069e+00,1.077698e+03,8.920958e+02,1.856021e+02,7.931290e+02,6.460028e+02,1.471263e+02,3.060934e+02,2.551923e+02,5.090107e+01,2.369174e+02,1.961593e+02,4.075813e+01,1.609290e+02,1.313213e+02,2.960765e+01,7.634884e+01,6.372162e+01,1.262721e+01
