F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
NaN,NaN,1.827776e+00,742,2.973987e-01,1.092822e+00,1.097542e-01,6.415632e-01,2.954212e+00
NaN,NaN,1.880569e+00,742,2.779894e-01,1.128148e+00,1.116852e-01,7.266563e-01,3.228047e+00
